MJD,ABmag,emag,band
56220.5462,15.45,0.049,UVW1
56220.5471,14.417000000000002,0.043,U
56220.5476,14.323,0.044000000000000004,B
56220.5491,16.302,0.057999999999999996,UVW2
56220.5505,14.230999999999998,0.054000000000000006,V
56220.5525,15.879,0.057999999999999996,UVM2
56220.83,15.06,0.04,H
56220.83,14.9,0.08,J
56220.83,15.12,0.08,KS
56220.89,14.36,0.06,B
56220.89,14.44,0.05,I
56220.89,14.3,0.04,R
56220.89,14.629999999999999,0.03,U
56220.89,14.299999999999999,0.04,V
56220.93,16.31,0.05,UVW2
56220.96,14.670000000000002,0.04,U
56221.02,15.1,0.13,J
56221.04,14.38,0.05,B
56221.04,14.690000000000001,0.05,U
56221.04,16.080000000000002,0.06,UVM2
56221.04,15.61,0.06,UVW1
56221.04,16.32,0.06,UVW2
56221.04,14.32,0.05,V
56221.18,14.42,0.01,B
56221.18,14.469999999999999,0.01,I
56221.18,14.360000000000001,0.01,R
56221.18,14.59,0.04,U
56221.18,14.36,0.01,V
56221.91,14.42,0.02,B
56221.91,14.360000000000001,0.01,R
56221.91,14.68,0.02,U
56221.91,14.37,0.01,V
56222.2822,15.687,0.051,UVW1
56222.2835,14.515999999999998,0.043,U
56222.2842,14.448,0.045,B
56222.2861,16.596,0.062,UVW2
56222.2881,14.352,0.054000000000000006,V
56222.2908,16.201,0.063,UVM2
56222.4823,16.404,0.069,UVM2
56222.4973,16.574,0.061,UVW2
56222.78,14.52,0.05,B
56222.78,14.719999999999999,0.05,U
56222.78,16.240000000000002,0.06,UVM2
56222.78,15.77,0.06,UVW1
56222.78,16.63,0.06,UVW2
56222.78,14.469999999999999,0.05,V
56222.92,14.59,0.02,B
56222.92,14.6,0.02,I
56222.92,14.4,0.02,R
56222.92,14.86,0.1,U
56222.92,14.43,0.02,V
56222.98,16.25,0.07,UVM2
56222.99,16.43,0.05,UVW2
56223.07,14.6,0.04,I
56223.07,14.430000000000001,0.01,R
56223.07,14.42,0.01,V
56223.19,15.100000000000001,0.04,H
56223.19,15.08,0.02,J
56223.19,15.51,0.13,KS
56223.25,14.5,0.02,B
56223.25,14.569999999999999,0.02,I
56223.25,14.450000000000001,0.01,R
56223.25,14.920000000000002,0.03,U
56223.25,14.459999999999999,0.01,V
56224.4865,15.911,0.055999999999999994,UVW1
56224.4876,14.795000000000002,0.046,U
56224.4881,14.562000000000001,0.046,B
56224.4898,16.983,0.076,UVW2
56224.4914,14.398,0.057,V
56224.4938,16.537000000000003,0.065,UVM2
56224.6253,14.793,0.042,U
56224.6406,17.017,0.075,UVW2
56224.87,14.65,0.01,B
56224.87,14.67,0.05,I
56224.87,14.5,0.01,R
56224.87,14.989999999999998,0.02,U
56224.87,14.5,0.02,V
56224.99,14.57,0.03,B
56224.99,15.05,0.06,U
56224.99,16.62,0.06,UVM2
56224.99,15.99,0.06,UVW1
56224.99,17.02,0.07,UVW2
56224.99,14.51,0.06,V
56225.0,16.84,0.07,UVM2
56225.02,14.7,0.02,B
56225.02,14.67,0.02,I
56225.02,14.5,0.03,R
56225.02,14.559999999999999,0.05,V
56225.12,15.059999999999999,0.05,U
56225.14,17.04,0.06,UVW2
56225.88,14.77,0.02,B
56225.88,14.79,0.03,I
56225.88,14.620000000000001,0.01,R
56225.88,15.120000000000001,0.09,U
56225.88,14.67,0.01,V
56226.06,15.31,0.12,J
56226.2273,16.319000000000003,0.065,UVW1
56226.2286,15.050999999999998,0.047,U
56226.2292,14.797,0.047,B
